model_name,month_date,target_month,portfolio,portfolio_return_percent,benchmark_return_percent,mean_fund_excess_return_percent,funds,excess_return_percent,excess_difference
RF,2024-03-01,2024-04-01,4,6.604114,4.533622,2.070492,1,2.0704919999999998,-4.440892098500626e-16
RF,2024-03-01,2024-04-01,5,4.113964,4.533622,-0.419658,2,-0.4196580000000001,-1.1102230246251565e-16
RF,2024-03-01,2024-04-01,6,4.6069225,4.533622,0.07330049999999999,2,0.07330049999999932,-6.661338147750939e-16
RF,2024-03-01,2024-04-01,7,1.91143,4.533622,-2.622192,1,-2.622192,0.0
RF,2024-03-01,2024-04-01,8,3.279091,4.533622,-1.254531,2,-1.254531,0.0
RF,2024-03-01,2024-04-01,9,4.441339,4.533622,-0.092283,1,-0.09228300000000011,-1.1102230246251565e-16
RF,2024-03-01,2024-04-01,10,4.5711580000000005,4.533622,0.037535999999999986,2,0.037536000000000236,2.498001805406602e-16
RF,2024-03-01,2024-04-01,11,4.332519,4.533622,-0.201103,2,-0.2011030000000007,-6.938893903907228e-16
RF,2024-03-01,2024-04-01,12,3.655039,4.533622,-0.878583,1,-0.8785830000000003,-3.3306690738754696e-16
RF,2024-03-01,2024-04-01,13,5.0552965,4.533622,0.5216745,2,0.5216744999999996,-4.440892098500626e-16
RF,2024-03-01,2024-04-01,14,3.011712,4.533622,-1.52191,1,-1.52191,0.0
RF,2024-03-01,2024-04-01,15,3.5740800000000004,4.533622,-0.959542,2,-0.9595419999999999,1.1102230246251565e-16
RF,2024-03-01,2024-04-01,16,3.5071385,4.533622,-1.0264835,2,-1.0264835000000003,-2.220446049250313e-16
RF,2024-03-01,2024-04-01,17,4.089111,4.533622,-0.444511,1,-0.4445110000000003,-3.3306690738754696e-16
RF,2024-03-01,2024-04-01,18,5.103775000000001,4.533622,0.570153,2,0.5701530000000004,3.3306690738754696e-16
RF,2024-03-01,2024-04-01,19,4.109112,4.533622,-0.42451,1,-0.4245100000000006,-6.106226635438361e-16
RF,2024-04-01,2024-05-01,0,2.3717374999999996,0.731367,1.6403705,2,1.6403704999999995,-4.440892098500626e-16
RF,2024-04-01,2024-05-01,1,1.382533,0.731367,0.651166,2,0.651166,0.0
RF,2024-04-01,2024-05-01,2,2.480496,0.731367,1.749129,1,1.749129,0.0
RF,2024-04-01,2024-05-01,3,0.8932929999999999,0.731367,0.16192600000000001,2,0.1619259999999999,-1.1102230246251565e-16
RF,2024-04-01,2024-05-01,4,2.526659,0.731367,1.795292,1,1.7952919999999999,-2.220446049250313e-16
RF,2024-04-01,2024-05-01,5,1.285531,0.731367,0.554164,2,0.554164,0.0
RF,2024-04-01,2024-05-01,6,1.846016,0.731367,1.114649,2,1.114649,0.0
RF,2024-04-01,2024-05-01,7,0.864446,0.731367,0.133079,1,0.13307900000000006,5.551115123125783e-17
RF,2024-04-01,2024-05-01,8,1.31054,0.731367,0.579173,2,0.579173,0.0
RF,2024-04-01,2024-05-01,9,2.336364,0.731367,1.604997,1,1.604997,0.0
RF,2024-04-01,2024-05-01,10,0.371768,0.731367,-0.359599,2,-0.359599,0.0
RF,2024-04-01,2024-05-01,11,0.22134549999999997,0.731367,-0.5100215000000001,2,-0.5100215,1.1102230246251565e-16
RF,2024-04-01,2024-05-01,12,1.897617,0.731367,1.16625,1,1.1662500000000002,2.220446049250313e-16
RF,2024-04-01,2024-05-01,13,1.101089,0.731367,0.369722,2,0.369722,0.0
RF,2024-04-01,2024-05-01,14,2.507192,0.731367,1.775825,1,1.7758249999999998,-2.220446049250313e-16
RF,2024-04-01,2024-05-01,15,1.8303574999999999,0.731367,1.0989905,2,1.0989904999999998,-2.220446049250313e-16
RF,2024-04-01,2024-05-01,16,-0.702849,0.731367,-1.434216,2,-1.434216,0.0
RF,2024-04-01,2024-05-01,17,1.635679,0.731367,0.904312,1,0.9043120000000001,1.1102230246251565e-16
RF,2024-04-01,2024-05-01,18,2.396693,0.731367,1.665326,2,1.6653259999999999,-2.220446049250313e-16
RF,2024-04-01,2024-05-01,19,2.278237,0.731367,1.54687,1,1.5468699999999997,-2.220446049250313e-16
RF,2024-05-01,2024-06-01,0,7.261967,7.051242,0.21072500000000002,2,0.21072500000000005,2.7755575615628914e-17
RF,2024-05-01,2024-06-01,1,5.583335,7.051242,-1.4679069999999999,2,-1.4679070000000003,-4.440892098500626e-16
RF,2024-05-01,2024-06-01,2,9.013836,7.051242,1.962594,1,1.9625939999999993,-6.661338147750939e-16
RF,2024-05-01,2024-06-01,3,7.3573735,7.051242,0.3061315,2,0.30613149999999933,-6.661338147750939e-16
RF,2024-05-01,2024-06-01,4,4.537794,7.051242,-2.513448,1,-2.5134480000000003,-4.440892098500626e-16
RF,2024-05-01,2024-06-01,5,5.701655499999999,7.051242,-1.3495865,2,-1.349586500000001,-8.881784197001252e-16
RF,2024-05-01,2024-06-01,6,7.1009305000000005,7.051242,0.049688500000000024,2,0.049688500000000246,2.220446049250313e-16
RF,2024-05-01,2024-06-01,7,4.568717,7.051242,-2.482525,1,-2.482525,0.0
RF,2024-05-01,2024-06-01,8,6.9200064999999995,7.051242,-0.13123549999999998,2,-0.13123550000000073,-7.494005416219807e-16
RF,2024-05-01,2024-06-01,9,9.078674,7.051242,2.027432,1,2.0274319999999992,-8.881784197001252e-16
RF,2024-05-01,2024-06-01,10,7.3175655,7.051242,0.2663235,2,0.2663234999999995,-4.996003610813204e-16
RF,2024-05-01,2024-06-01,11,7.9553245,7.051242,0.9040825,2,0.9040824999999995,-5.551115123125783e-16
RF,2024-05-01,2024-06-01,12,5.823164,7.051242,-1.228078,1,-1.228078,0.0
RF,2024-05-01,2024-06-01,13,7.3447695,7.051242,0.2935275,2,0.2935274999999997,-2.7755575615628914e-16
RF,2024-05-01,2024-06-01,14,8.578565,7.051242,1.527323,1,1.527322999999999,-8.881784197001252e-16
RF,2024-05-01,2024-06-01,15,7.8203305,7.051242,0.7690885000000001,2,0.7690884999999996,-4.440892098500626e-16
RF,2024-05-01,2024-06-01,16,6.592534,7.051242,-0.45870799999999995,2,-0.45870800000000056,-6.106226635438361e-16
RF,2024-05-01,2024-06-01,17,5.103785,7.051242,-1.947457,1,-1.947457,0.0
RF,2024-05-01,2024-06-01,18,7.030528,7.051242,-0.02071400000000001,2,-0.0207139999999999,1.1102230246251565e-16
RF,2024-05-01,2024-06-01,19,8.367259,7.051242,1.316017,1,1.3160170000000004,4.440892098500626e-16
RF,2024-06-01,2024-07-01,0,4.0454725,4.390997,-0.3455245,2,-0.3455244999999998,2.220446049250313e-16
RF,2024-06-01,2024-07-01,1,3.485473,4.390997,-0.905524,2,-0.9055239999999998,2.220446049250313e-16
RF,2024-06-01,2024-07-01,2,3.335344,4.390997,-1.055653,1,-1.0556529999999995,4.440892098500626e-16
RF,2024-06-01,2024-07-01,3,4.5705855,4.390997,0.17958849999999998,2,0.17958850000000037,3.885780586188048e-16
RF,2024-06-01,2024-07-01,4,3.449189,4.390997,-0.941808,2,-0.9418079999999995,4.440892098500626e-16
RF,2024-06-01,2024-07-01,5,3.133506,4.390997,-1.257491,1,-1.2574909999999995,4.440892098500626e-16
RF,2024-06-01,2024-07-01,6,3.4985155,4.390997,-0.8924815,2,-0.8924814999999997,3.3306690738754696e-16
RF,2024-06-01,2024-07-01,7,2.9318695,4.390997,-1.4591275000000001,2,-1.4591274999999997,4.440892098500626e-16
RF,2024-06-01,2024-07-01,8,2.333637,4.390997,-2.05736,1,-2.0573599999999996,4.440892098500626e-16
RF,2024-06-01,2024-07-01,9,3.576778,4.390997,-0.814219,2,-0.8142189999999996,4.440892098500626e-16
RF,2024-06-01,2024-07-01,10,2.991216,4.390997,-1.399781,2,-1.3997809999999995,4.440892098500626e-16
RF,2024-06-01,2024-07-01,11,2.775656,4.390997,-1.615341,1,-1.6153409999999995,4.440892098500626e-16
RF,2024-06-01,2024-07-01,12,3.493741,4.390997,-0.897256,2,-0.8972559999999996,4.440892098500626e-16
RF,2024-06-01,2024-07-01,13,3.0176885,4.390997,-1.3733085,2,-1.3733084999999994,6.661338147750939e-16
RF,2024-06-01,2024-07-01,14,3.305034,4.390997,-1.085963,1,-1.0859629999999996,4.440892098500626e-16
RF,2024-06-01,2024-07-01,15,2.942908,4.390997,-1.448089,2,-1.4480889999999995,4.440892098500626e-16
RF,2024-06-01,2024-07-01,16,2.4668405,4.390997,-1.9241565,2,-1.9241564999999996,4.440892098500626e-16
RF,2024-06-01,2024-07-01,17,3.074992,4.390997,-1.316005,1,-1.3160049999999996,4.440892098500626e-16
RF,2024-06-01,2024-07-01,18,2.737086,4.390997,-1.653911,2,-1.6539109999999995,4.440892098500626e-16
RF,2024-06-01,2024-07-01,19,4.664275,4.390997,0.273278,1,0.27327800000000035,3.3306690738754696e-16
RF,2024-07-01,2024-08-01,0,1.9591905,1.035556,0.9236345,2,0.9236345000000001,1.1102230246251565e-16
RF,2024-07-01,2024-08-01,1,2.895761,1.035556,1.860205,2,1.8602049999999999,-2.220446049250313e-16
RF,2024-07-01,2024-08-01,2,1.636609,1.035556,0.601053,1,0.6010530000000001,1.1102230246251565e-16
RF,2024-07-01,2024-08-01,3,2.5920129999999997,1.035556,1.556457,2,1.5564569999999998,-2.220446049250313e-16
RF,2024-07-01,2024-08-01,4,1.4586545000000002,1.035556,0.42309850000000004,2,0.42309850000000027,2.220446049250313e-16
RF,2024-07-01,2024-08-01,5,1.787335,1.035556,0.751779,1,0.751779,0.0
RF,2024-07-01,2024-08-01,6,0.628021,1.035556,-0.40753500000000004,2,-0.40753499999999987,1.6653345369377348e-16
RF,2024-07-01,2024-08-01,7,2.0416185000000002,1.035556,1.0060625,2,1.0060625000000003,2.220446049250313e-16
RF,2024-07-01,2024-08-01,8,2.508834,1.035556,1.473278,1,1.4732779999999999,-2.220446049250313e-16
RF,2024-07-01,2024-08-01,9,1.9152055,1.035556,0.8796495,2,0.8796495,0.0
RF,2024-07-01,2024-08-01,10,3.427719,1.035556,2.392163,2,2.392163,0.0
RF,2024-07-01,2024-08-01,11,1.695555,1.035556,0.659999,1,0.659999,0.0
RF,2024-07-01,2024-08-01,12,0.7000125,1.035556,-0.3355435,2,-0.3355434999999999,1.1102230246251565e-16
RF,2024-07-01,2024-08-01,13,2.2828175,1.035556,1.2472615,2,1.2472615000000002,2.220446049250313e-16
RF,2024-07-01,2024-08-01,14,2.281496,1.035556,1.24594,1,1.2459400000000003,2.220446049250313e-16
RF,2024-07-01,2024-08-01,15,1.746531,1.035556,0.710975,2,0.7109750000000001,1.1102230246251565e-16
RF,2024-07-01,2024-08-01,16,2.3514885000000003,1.035556,1.3159325,2,1.3159325000000004,4.440892098500626e-16
