feature_1,feature_2,spearman_rho,abs_rho
t_hml_120,t_hml_750,0.7117121199426374,0.7117121199426374
r2_90,t_mkt_180,0.7037459069263238,0.7037459069263238
t_const_180,ir_p6m,0.6923644965085641,0.6923644965085641
t_umd_120,t_umd_250,0.6914178519474216,0.6914178519474216
t_mkt_120,t_mkt_750,0.6862854066416096,0.6862854066416096
r2_250,t_mkt_90,0.6838940254984878,0.6838940254984878
const_180,ir_p6m,0.6836756642195178,0.6836756642195178
r2_750,t_mkt_120,0.6751647613487471,0.6751647613487471
t_hml_90,t_hml_750,0.674397438563051,0.674397438563051
r2_120,r2_750,0.648440474858796,0.648440474858796
t_smb_250,t_smb_750,0.64399188226942,0.64399188226942
r2_90,r2_250,0.6374618169045873,0.6374618169045873
const_90,const_180,0.6352180972875466,0.6352180972875466
r2_120,t_mkt_750,0.6342988162600861,0.6342988162600861
r2_120,t_mkt_250,0.6318434830803973,0.6318434830803973
t_mkt_250,sr_p1y,-0.6296855212070951,0.6296855212070951
t_const_90,t_const_180,0.6296577991835427,0.6296577991835427
const_90,t_const_180,0.6285224016583281,0.6285224016583281
t_mkt_90,t_mkt_250,0.6284639699905813,0.6284639699905813
const_180,t_const_90,0.6263751734533917,0.6263751734533917
sr_p6m,sr_p1y,0.618059138653004,0.618059138653004
ir_p1y,sr_p3y,0.6176414404443135,0.6176414404443135
t_mkt_90,t_mkt_750,0.6075378593347135,0.6075378593347135
t_smb_180,t_smb_750,0.6072146235800029,0.6072146235800029
r2_750,t_mkt_90,0.606749131605286,0.606749131605286
ir_p1y,ir_p3y,0.6059366742541927,0.6059366742541927
t_mkt_180,sr_p1y,-0.6030925807301251,0.6030925807301251
ir_p6m,ir_p1y,0.6023087041066031,0.6023087041066031
t_const_250,sr_p3y,0.5992809934228163,0.5992809934228163
const_750,t_umd_90,0.5991626650776145,0.5991626650776145
r2_250,sr_p1y,-0.595045551230122,0.595045551230122
t_umd_90,sr_p3y,0.5938456661827878,0.5938456661827878
t_umd_90,t_umd_250,0.5876236491927579,0.5876236491927579
t_const_750,t_umd_90,0.5873613592017759,0.5873613592017759
r2_90,r2_750,0.585414046524272,0.585414046524272
t_hml_180,ir_p3y,0.5847799402549777,0.5847799402549777
const_750,t_umd_120,0.5847535565993566,0.5847535565993566
const_250,sr_p3y,0.5779053559820171,0.5779053559820171
t_const_750,t_umd_120,0.5738635724382635,0.5738635724382635
t_hml_250,ir_p3y,0.5686662992535042,0.5686662992535042
t_mkt_120,sr_p6m,-0.5666760420573954,0.5666760420573954
t_umd_250,t_umd_750,0.564936454233179,0.564936454233179
t_const_750,r2_180,-0.5643041993923908,0.5643041993923908
t_umd_120,sr_p3y,0.5622041582524664,0.5622041582524664
r2_90,t_mkt_750,0.5606408235333062,0.5606408235333062
t_hml_750,ir_p3y,0.5602490305641348,0.5602490305641348
t_const_750,t_mkt_120,-0.5573517496003381,0.5573517496003381
t_const_750,t_mkt_180,-0.5547650513643105,0.5547650513643105
const_750,r2_180,-0.5524134397817323,0.5524134397817323
r2_120,sr_p6m,-0.5521166253973601,0.5521166253973601
const_750,t_mkt_120,-0.5517605762073994,0.5517605762073994
const_120,const_250,0.5460410167067797,0.5460410167067797
const_750,t_mkt_180,-0.5433147174968316,0.5433147174968316
const_250,t_const_120,0.5411453507814663,0.5411453507814663
t_const_120,t_const_250,0.540269380209664,0.540269380209664
const_120,t_const_250,0.5401785436314621,0.5401785436314621
t_mkt_120,sr_p3y,-0.5394451263970481,0.5394451263970481
