,tna,vol_flows,const_90,const_120,const_180,const_250,const_750,t_const_90,t_const_120,t_const_180,t_const_250,t_const_750,r2_90,r2_120,r2_180,r2_250,r2_750,t_mkt_90,t_mkt_120,t_mkt_180,t_mkt_250,t_mkt_750,t_smb_90,t_smb_120,t_smb_180,t_smb_250,t_smb_750,t_hml_90,t_hml_120,t_hml_180,t_hml_250,t_hml_750,t_umd_90,t_umd_120,t_umd_180,t_umd_250,t_umd_750,ir_p6m,ir_p1y,ir_p3y,sr_p6m,sr_p1y,sr_p3y
t_mkt_250,-0.1041938681343669,-0.11027629084574417,0.11933472949015661,0.1110445007516896,-0.06800919452980671,-0.16645970964500406,-0.4299768930370836,0.1514110443769823,0.14292802735600607,-0.037293410557563404,-0.15404837462575388,-0.45152492117499166,0.5269226665799392,0.6318434830803973,0.8129765796765238,0.9650542282261506,0.7290404771115272,0.6284639699905813,0.7300645037197431,0.8790037476673674,1.0,0.772432279106013,0.09391502637154432,0.08842532068125795,0.15679836675687678,0.2235535190180144,0.11086016385126292,0.018484139260267412,0.006509597215109978,-0.058350148039934914,-0.11702796634150417,0.02004516222490768,-0.39910150212944606,-0.39043035880638804,-0.3008176713799384,-0.12066192264300028,-0.15471242794647552,0.17764112536741974,-0.1523413884294241,-0.23955378110824577,-0.4094608694784546,-0.6296855212070951,-0.35270109389446924
t_mkt_750,-0.10737682102802615,-0.16399135637350243,0.11074983278187117,0.10103968822391624,-0.0437699586650999,-0.20333242102248464,-0.4074465877465155,0.1182234708901279,0.10905154523252883,-0.030573104178179305,-0.19516762450778763,-0.4426877139659991,0.5606408235333062,0.6342988162600861,0.7332735749342545,0.7826606221949329,0.9726738073876586,0.6075378593347135,0.6862854066416096,0.7642122435111008,0.772432279106013,1.0,-0.0714479578675627,-0.11236632172565736,-0.09162270569856344,-0.08654692331633342,0.041247766244712304,-0.06847760463394968,-0.116461624024002,-0.20923975700976133,-0.25140751534641176,-0.06704005833374777,-0.49587505006391386,-0.5007891346280068,-0.4661375748718367,-0.36021356403688704,0.000923423150292419,0.12547550036074476,-0.22201911916498143,-0.3027809375482068,-0.3019630762002647,-0.3356455266493508,-0.4054466900227517
t_smb_90,-0.15178211340753842,-0.10111109615440703,-0.07150826947024033,-0.043933457938433215,-0.03027867084800017,-0.011677101346738562,-0.11528281405813327,-0.060425000205393084,-0.03823342363054196,-0.04374686139016291,-0.04703534255295976,-0.11140555823619203,0.07788725343485557,0.12288593491015043,0.12756753309541805,0.09644353095439803,-0.1188786527471326,0.07218070833981433,0.10849518109810018,0.12253545355282511,0.09391502637154432,-0.0714479578675627,1.0,0.9377627577923102,0.8339371658635444,0.7296155419929268,0.5144378016230648,0.14287831927728478,0.14366051420661036,0.1045193108542995,0.05969355942611852,-0.08235385663949402,0.1507244737457145,0.18936483963324285,0.20269659970669773,0.19778958021541573,0.08398344627859952,-0.011243834103645186,-0.004768058412856596,-0.07988333474282255,-0.31680145213571226,-0.3086209697504496,-0.11315083177943776
t_smb_120,-0.1616798288312636,-0.11045227363802917,-0.09676113150391953,-0.07156935292203041,-0.04779389329888693,-0.008001272273182735,-0.09349664872654295,-0.09328079744182691,-0.0727080492780991,-0.06308454189050101,-0.04325863190430019,-0.09030937138510282,0.055305559177299214,0.10670342611886195,0.10918568961804022,0.08742930395477037,-0.16133787517417997,0.04908072086190832,0.09128420409461353,0.10314229207175357,0.08842532068125795,-0.11236632172565736,0.9377627577923102,1.0,0.8838459268313982,0.7796992808725405,0.5223081570526512,0.1138852169726335,0.13623646483247587,0.10831980624371106,0.06728686049093072,-0.09796049721471527,0.18056235716295693,0.22301878427457475,0.24869702810739197,0.2532577192478459,0.10808973611763772,-0.05619278948234576,-0.0017731184039125752,-0.07748017094888517,-0.26317547725788665,-0.31795040184716233,-0.09631048110704744
t_smb_180,-0.16066623785325684,-0.10813652046808929,-0.09146040321878901,-0.079062422071154,-0.12381357718137057,-0.08967670666836287,-0.12909305416370884,-0.09055119846088851,-0.08672542695101723,-0.14208301656916178,-0.12428253850819634,-0.1258619820643743,0.03593378498804111,0.09064551011494835,0.1811658513366132,0.17104702666282764,-0.1400161913658248,0.048876168464124674,0.09253535940238666,0.1616386683587481,0.15679836675687678,-0.09162270569856344,0.8339371658635444,0.8838459268313982,1.0,0.9057798896940522,0.6072146235800029,0.08969429495191462,0.10614693749844852,0.11414533462125258,0.0958786042892543,-0.10234970339611704,0.11502833069633268,0.152555208751188,0.24923848967637852,0.3084586991916888,0.17870414985468724,-0.043347843926772836,-0.08336702558330468,-0.10292065005253669,-0.1740152513731498,-0.371512486532224,-0.12550697464535013
t_smb_250,-0.1481236713227841,-0.10656590530810252,-0.045745784815969734,-0.04381084713554054,-0.12888595062468283,-0.12581266395596466,-0.11099939511208645,-0.04142812004658629,-0.0430172365253834,-0.14100961828446876,-0.15432358761082096,-0.11120048454985709,-0.0007664479890009505,0.05313101112630343,0.15054134542241665,0.23620837571086237,-0.13028173521731265,0.012639096723615375,0.06721546141968736,0.1566581741187678,0.2235535190180144,-0.08654692331633342,0.7296155419929268,0.7796992808725405,0.9057798896940522,1.0,0.64399188226942,0.110914328991319,0.1312729011061169,0.1149341493836516,0.11291117548685119,-0.0604420084107775,0.03714412372536806,0.04947015307144631,0.1406477724375199,0.27694293270710846,0.16116742863688407,0.03209967620086412,-0.08148330240780531,-0.06465427686340224,-0.11690085581075936,-0.37486217944989,-0.11206482346833042
t_smb_750,-0.11496947177457671,0.005712329325097911,-0.02824571145485132,-0.0470476042639038,-0.1712393084300584,-0.3091449144668409,-0.25032422821951644,-0.023077082651022107,-0.04145928635569058,-0.18315291511615192,-0.34070475809211953,-0.253336786988282,0.3123633815037032,0.3299683433704714,0.30769760260073586,0.2395621333211269,0.04743596937235223,0.2619736849815341,0.27027192184682197,0.21668543183254882,0.11086016385126292,0.041247766244712304,0.5144378016230648,0.5223081570526512,0.6072146235800029,0.64399188226942,1.0,0.062072832335553794,0.05469317261036638,0.04434680495121546,0.06442587006167919,0.15552292834723067,-0.18458170949956376,-0.1438691835616779,-0.026483848600569064,0.1314848343903197,0.3180051478186195,0.07943475823753184,-0.15180339249012473,-0.02993110295727572,-0.22679058617673434,-0.10572238259630984,-0.2320772619342134
t_hml_90,-0.011088542005170964,0.024098105402243997,0.07378103074262259,0.08365268624756259,0.11100295818344887,0.15759939083625005,0.23153457914060255,0.10925093719160292,0.11879257777146089,0.1412801508760452,0.170593443577333,0.22200402954301124,0.05624625126091801,0.07908761443828435,0.10351635895618616,0.10082957609129266,0.0630641587847121,-0.06703171863705877,-0.025378226275397597,0.020356568639904128,0.018484139260267412,-0.06847760463394968,0.14287831927728478,0.1138852169726335,0.08969429495191462,0.110914328991319,0.062072832335553794,1.0,0.9444776675734385,0.8485491397348732,0.7313510529084383,0.674397438563051,0.19420335734816432,0.18183181386687775,0.1402859248379749,0.07422809869985712,-0.030672624056242114,0.20833871712600632,0.3572454052977578,0.4608685628295014,0.06952974146803531,0.07712171219860146,0.3380122822136309
t_hml_120,-0.012904387454349096,0.03674258582824511,0.04068528858887541,0.06888663429160832,0.07551689410390881,0.12963330194858913,0.2880112353890934,0.07271631984368825,0.10328681637903361,0.10786493301215744,0.14777223695003935,0.2780522831419033,0.041382791973528475,0.06928358087386224,0.08135060456277389,0.08924041575370079,0.02345626416245879,-0.08753681809239097,-0.05097978323119071,-0.01171199651732798,0.006509597215109978,-0.116461624024002,0.14366051420661036,0.13623646483247587,0.10614693749844852,0.1312729011061169,0.05469317261036638,0.9444776675734385,1.0,0.9224066946313988,0.7995192149410297,0.7117121199426374,0.22022200423377533,0.21604799514995096,0.19731136154551762,0.13338076493787548,-0.012793305426379468,0.19055347959091115,0.3465448254114988,0.5134822150986281,0.055800344236957594,0.11189055023168393,0.38368444617070346
t_hml_180,-0.011639250437181406,0.05715852028412182,-0.02999893220572945,-0.010559784358820708,0.03949027198856437,0.09524451973093245,0.37076386702564024,-0.006284432777076171,0.014410103667797183,0.07325560973809972,0.11924544098142552,0.3606954502671329,0.00038765539107062856,0.004874296885594861,0.03537273390732011,0.029252463529777763,-0.056711715722074264,-0.11392312403518075,-0.10794216825193953,-0.06906390106892239,-0.058350148039934914,-0.20923975700976133,0.1045193108542995,0.10831980624371106,0.11414533462125258,0.1149341493836516,0.04434680495121546,0.8485491397348732,0.9224066946313988,1.0,0.9066183968577198,0.7499108632303797,0.23194671673543352,0.24426539016728976,0.2612742587303683,0.2181493957365659,-0.0003292137263726326,0.13725341036312255,0.3368238967645469,0.5847799402549777,0.09467896725405632,0.17014598866352346,0.4795121025427268
