"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2014","9,581.34","9,755.59","9,926.87","9,184.17","","-2.07%"
"01-11-2014","9,783.89","9,480.57","9,783.89","9,480.57","","3.49%"
"01-10-2014","9,454.01","9,043.00","9,454.01","8,801.24","","4.26%"
"01-09-2014","9,067.95","9,093.92","9,294.45","8,965.36","","0.93%"
"01-08-2014","8,984.16","8,622.98","8,984.16","8,570.60","","2.80%"
"01-07-2014","8,739.55","8,723.15","8,903.24","8,440.72","","0.60%"
"01-06-2014","8,687.05","8,299.83","8,714.42","8,299.83","","6.63%"
"01-05-2014","8,147.00","7,378.90","8,311.92","7,339.93","","10.52%"
"01-04-2014","7,371.39","7,338.75","7,521.16","7,335.68","","0.60%"
"01-03-2014","7,327.40","6,751.13","7,327.40","6,751.13","","7.82%"
"01-02-2014","6,795.74","6,510.11","6,795.74","6,510.11","","3.05%"
"01-01-2014","6,594.58","6,887.24","6,887.24","6,545.50","","-4.12%"
"01-12-2013","6,878.29","6,721.81","6,878.29","6,645.22","","3.06%"
"01-11-2013","6,673.85","6,746.28","6,770.26","6,456.05","","-0.70%"
"01-10-2013","6,720.89","6,182.91","6,720.89","6,182.91","","9.47%"
"01-09-2013","6,139.75","5,914.21","6,469.18","5,716.38","","5.29%"
"01-08-2013","5,831.25","6,074.32","6,131.24","5,651.37","","-4.56%"
"01-07-2013","6,109.86","6,362.81","6,498.28","6,109.86","","-2.67%"
"01-06-2013","6,277.73","6,471.69","6,471.69","6,030.01","","-3.46%"
"01-05-2013","6,502.47","6,504.78","6,718.54","6,455.00","","1.11%"
"01-04-2013","6,430.90","6,186.03","6,430.90","5,989.54","","4.60%"
"01-03-2013","6,148.26","6,229.92","6,453.58","6,081.57","","-0.81%"
"01-02-2013","6,198.24","6,608.15","6,608.15","6,198.24","","-6.58%"
"01-01-2013","6,634.78","6,621.03","6,721.61","6,591.13","","1.11%"
"01-12-2012","6,561.87","6,479.45","6,576.70","6,464.29","","1.48%"
"01-11-2012","6,465.86","6,186.05","6,465.86","6,124.06","","5.16%"
"01-10-2012","6,148.86","6,248.93","6,326.99","6,114.24","","-1.19%"
"01-09-2012","6,223.06","5,699.38","6,223.06","5,682.66","","9.14%"
"01-08-2012","5,701.84","5,711.31","5,876.66","5,694.03","","0.22%"
"01-07-2012","5,689.60","5,752.15","5,832.31","5,519.67","","-0.84%"
"01-06-2012","5,738.04","5,283.66","5,738.04","5,282.29","","6.90%"
"01-05-2012","5,367.52","5,709.96","5,709.96","5,268.81","","-6.16%"
"01-04-2012","5,719.56","5,813.00","5,862.68","5,654.94","","-1.02%"
"01-03-2012","5,778.58","5,805.23","5,941.94","5,645.28","","-1.20%"
"01-02-2012","5,848.67","5,630.73","6,083.74","5,630.73","","4.76%"
"01-01-2012","5,583.02","4,922.60","5,585.26","4,922.60","","13.57%"
"01-12-2011","4,916.08","5,299.72","5,425.37","4,842.64","","-5.60%"
